index,T/F
1061,0
1062,0
1063,1
1064,0
1065,0
1066,1
1067,0
1068,0
1069,0
1070,1
1071,0
1072,1
1073,0
1074,1
1075,0
1076,0
1077,0
1078,1
1079,0
1080,1
1081,0
1082,0
1083,0
1084,1
1085,0
1086,0
1087,0
1088,1
1089,1
1090,0
1091,0
1092,0
1093,0
1094,0
1095,1
1096,0
1097,0
1098,1
1099,0
1100,0
1101,1
1102,1
1103,1
1104,1
1105,0
1106,0
1107,1
1108,0
1109,0
1110,1
1111,0
1112,0
1113,0
1114,0
1115,1
1116,0
1117,1
1118,0
1119,0
1120,0
1121,1
1122,0
1123,1
1124,1
1125,0
1126,0
1127,0
1128,0
1129,1
1130,0
1131,0
1132,0
1133,0
1134,0
1135,0
1136,0
1137,1
1138,0
1139,0
1140,1
1141,1
1142,1
1143,1
1144,1
1145,1
1146,1
1147,1
1148,1
1149,0
1150,1
1151,0
1152,1
1153,0
1154,0
1155,0
1156,1
1157,0
1158,0
1159,1
1160,1
1161,0
1162,1
1163,1
1164,1
1165,0
1166,0
1167,1
1168,1
1169,0
1170,1
1171,0
1172,1
1173,0
1174,0
1175,1
1176,0
1177,0
1178,1
1179,0
1180,0
1181,1
1182,0
1183,0
1184,1
1185,0
1186,1
1187,0
1188,0
1189,1
1190,0
1191,0
1192,0
1193,1
1194,0
1195,1
1196,0
1197,0
1198,0
1199,1
1200,1
1201,0
1202,0
1203,1
1204,0
1205,0
1206,1
1207,1
1208,1
1209,0
1210,1
1211,1
1212,1
1213,0
1214,1
1215,0
1216,1
1217,1
1218,1
1219,1
1220,0
1221,1
1222,1
1223,1
1224,0
1225,1
1226,1
1227,0
1228,1
1229,0
1230,0
1231,1
1232,1
1233,0
1234,0
1235,1
1236,0
1237,0
1238,1
1239,1
1240,1
1241,1
1242,0
1243,1
1244,1
1245,0
1246,0
1247,1
1248,1
1249,1
1250,0
1251,0
1252,0
1253,1
1254,0
1255,1
1256,0
1257,1
1258,1
1259,1
1260,0
1261,1
